               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10611,            0.018756,            0.037684,           0.0024997,             0.56885,            0.077339,            0.021766,            0.087326,            0.016349,            0.025397,            0.070545,           0.0032727,           0.0032727
                   1,            0.072254,            0.020762,            0.021921,             0.48061,             0.33069,             0.27002,            0.093463,            0.062425,            0.013323,            0.015678,            0.039891,           0.0059521,           0.0059521
                   2,            0.065627,            0.016872,            0.015447,             0.72482,               0.414,             0.47116,             0.19214,            0.060182,            0.011093,            0.010347,           0.0085775,           0.0079714,           0.0079714
                   3,            0.055965,            0.015107,            0.010883,             0.50492,             0.63827,             0.51967,             0.23895,            0.052221,            0.009698,            0.006495,             0.00703,             0.00703,             0.00703
                   4,            0.049979,            0.012854,           0.0076324,             0.76306,             0.69263,               0.749,             0.36184,            0.043643,           0.0085656,           0.0050214,             0.00703,             0.00703,             0.00703
                   5,            0.042519,            0.011831,           0.0060245,             0.53139,             0.75445,              0.6715,             0.33762,            0.040721,           0.0077344,           0.0038316,             0.00604,             0.00604,             0.00604
                   6,            0.040045,            0.011212,           0.0048814,             0.90948,             0.82174,             0.87597,             0.52806,            0.030574,           0.0071448,           0.0035001,             0.00505,             0.00505,             0.00505
                   7,            0.034011,            0.010284,           0.0043415,             0.91264,             0.82785,             0.88266,               0.545,            0.026399,           0.0066239,           0.0029338,             0.00406,             0.00406,             0.00406
                   8,            0.031023,           0.0098702,           0.0037234,             0.89761,             0.85528,              0.8757,             0.54705,            0.025865,           0.0063355,           0.0025738,             0.00307,             0.00307,             0.00307
                   9,            0.027639,           0.0093246,           0.0033241,             0.93114,             0.85552,             0.90416,             0.61576,             0.02339,           0.0061123,           0.0022714,             0.00208,             0.00208,             0.00208
